,udisc_name,pdga_no,cur_rating,cur_udisc_rank,cur_udisc_index,cur_pdga_rank
566,Daniel Rubalcaba,93600,996,,,
567,Tye Weber,93823,996,,,
568,Mika Laikko,116266,996,,,
569,Daniel Kitchens,117788,996,,,
570,Brock Rohler,131719,996,,,
571,Joe Vander Veen,132408,996,,,
572,Jaakko Kankare,137362,996,,,
573,Zachary Tesone,153146,996,,,
574,Youhei Ohtaki,8165,995,,,
575,Craig Cutler,20671,995,,,
576,Matt Peckham,21325,995,,,
577,Matthew Enman,22243,995,,,
578,Jim Kelly,34408,995,,,
579,Peter McBride,34463,995,,,
580,Martin Spliid,38487,995,,,
581,Greg Grootenboer,39668,995,,,
582,Mitchell Privette,44938,995,,,
583,Lance Gregg,47154,995,,,
584,Matt Dixon,56161,995,,,
585,Clint Kuglar,58751,995,,,
586,Cody Hixson,58953,995,,,
587,Carlos Caballero,62251,995,,,
588,Matej Vojtik,64867,995,,,
589,Samu Astrom,73743,995,,,
590,Paul Koebke Barsic,76745,995,,,
591,Nicholas Carl,82935,995,,,
592,Hayden Kujala,92973,995,,,
593,Colby Childress,101578,995,,,
594,Roland Kour,108695,995,,,
595,Jonathan Borzick,119794,995,,,
596,Brent Hannu,128231,995,,,
597,David Fleck,129332,995,,,
598,Jaden Chezem,131595,995,,,
599,Gabriel Hernandez,148785,995,,,
600,Mike Moser,5557,994,,,
601,Michael Stelzer,8357,994,,,
602,Ryan Lane,19359,994,,,
603,Ryan McMaken,25132,994,,,
604,J.C. Kester,36777,994,,,
605,MASAKI KANAYA,40069,994,,,
606,Zach Moses,41351,994,,,
607,Chris Becker,42894,994,,,
608,Nathan Goodwin,45573,994,,,
609,Josh Flynn,48952,994,,,
610,Andrew Nava,52403,994,,,
611,Nick Wilder,54120,994,,,
612,Brandon Cawthorne,60069,994,,,
613,Jon Boothe,61523,994,,,
614,Bryan Freese,62044,994,,,
615,Brandon Robertson,62607,994,,,
616,Mike Fyfe,66400,994,,,
617,Clayton Lawson,69229,994,,,
618,Jesse Peterson,70585,994,,,
619,D.J. Herrington,71239,994,,,
620,Alex Tews,75745,994,,,
621,Seth Overbay,80258,994,,,
622,Noah Higgins,84157,994,,,
623,Mason Rhodes,85080,994,,,
624,Noah Baker,86443,994,,,
625,Micah Noble,101997,994,,,
626,Nicholas Raley,106305,994,,,
627,Sean Martin,111104,994,,,
628,Melvin Rivera,111943,994,,,
629,Tyler Fank,113942,994,,,
630,David Perry,116692,994,,,
